step,expert_label,is_noise,dx_m,dy_m,dz_m,droll_rad,dpitch_rad,dyaw_rad,gripper_0to1
0,MOVE_Z_NEG,False,0.00000,0.00000,-0.01400,0.00000,0.00000,0.00000,1.00000
1,MOVE_Z_NEG,True,0.00000,0.01400,0.00000,0.00000,0.00000,0.00000,1.00000
2,MOVE_Z_NEG,True,0.00000,0.00000,0.00000,0.00000,0.00000,-0.10000,1.00000
3,YAW_POS,True,0.00000,-0.01400,0.00000,0.00000,0.00000,0.00000,1.00000
4,YAW_POS,False,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,1.00000
5,MOVE_Z_NEG,False,0.00000,0.00000,-0.01400,0.00000,0.00000,0.00000,1.00000
6,GRIPPER_CLOSE,False,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7,MOVE_Z_POS,False,0.00000,0.00000,0.01400,0.00000,0.00000,0.00000,0.00000
8,MOVE_Z_POS,False,0.00000,0.00000,0.01400,0.00000,0.00000,0.00000,0.00000
9,MOVE_Z_POS,False,0.00000,0.00000,0.01400,0.00000,0.00000,0.00000,0.00000
10,MOVE_Z_POS,True,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,0.00000
11,MOVE_Z_POS,True,0.01400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
12,MOVE_Z_POS,True,0.00000,0.01400,0.00000,0.00000,0.00000,0.00000,0.00000
13,MOVE_Z_POS,False,0.00000,0.00000,0.01400,0.00000,0.00000,0.00000,0.00000
14,MOVE_Z_POS,False,0.00000,0.00000,0.01400,0.00000,0.00000,0.00000,0.00000
15,MOVE_Z_POS,False,0.00000,0.00000,0.01400,0.00000,0.00000,0.00000,0.00000
